题目,思路,章节
线方程,"直线的表示：
1、一般式：$\left\{\begin{array}{l}A_{1} x+B_{1} y+C_{1} z+D_{1}=0, \\ A_{2} x+B_{2} y+C_{2} z+D_{2}=0 .\end{array}\right.$，该直线为两平面的交线，这里假设$\left\{A_{1}, B_{1},C_{1}\right\}$与$\left\{A_{2}, B_{2}, C_{2}\right\}$不共线（两个不平行的平面必存在一条交线）
2、对称式：$\frac{x-x_{0}}{l}=\frac{y-y_{0}}{m}=\frac{z-z_{0}}{n}$，其中$\left(x_{0}, y_{0}, z_{0}\right)$为直线上的任意取定的一点，$s=\{l, m, n\} \neq 0$为直线的方向向量（直线上的一个向量与直线方向向量成比例，可以看出与参数式表示有一定关系）
3、参数式： $\left\{\begin{array}{l}x=x_{0}+l t \\ y=y_{0}+m t \\ z=z_{0}+n t \end{array}\right.$，$\left(x_{0}, y_{0}, z_{0}\right)$为直线上的任意取定的一点$s=\{l, m, n\} \neq \mathbf{0}$是直线的方向向量（参数式表示是一个定点向方向向量延申构成一条直线）
——————————————————————————
空间曲线及其方程：
1、参数式：$\left\{\begin{array}{l}x=x(t), \\ y=y(t), \\ z=z(t) .\end{array}\right.$
2、一般式（两曲面方程联立）：$\left\{\begin{array}{l}F(x, y, z)=0, \\ G(x, y, z)=0 .\end{array}\right.$
——————————————————————————
建立直线方程：
1、已知直线L上的一个点$P\left(x_{0}, y_{0}, z_{0}\right)$和直线$L$的方向向量$s=\{l, m, n\}$就可以确定直线$L$
2、两个不平行的平面相交于一直线（两平面的法向量的叉积确定直线的方向向量）
——————————————————————————
空间曲线的投影：
1、设有空间曲线$\Gamma:\left\{\begin{array}{l}F(x, y, z)=0, \\ G(x, y, z)=0\end{array}\right.$,先通过$\left\{\begin{array}{l}F(x, y, z)=0, \\ G(x, y, z)=0\end{array}\right.$消去$z$得$\varphi(x, y)=0$，则曲线$\Gamma$在$x O y$面上投影曲线方程包含在方程$\left\{\begin{array}{l}\varphi(x, y)=0, \\ z=0\end{array}\right.$之中（消去$z$意在解除$z$变量与$x,y$变量的关系，相当于$x,y$变量确定了该位置的高度，消去$z$就是把高度部分拿掉了，就得到了平面上$x,y$的关系）
备注：在求解投影时，注意变量的范围，通过利用图形或者原曲线的的方程变量范围进行把握（当消去方程的某一部分时可能会导致范围变大）（易错点）",向量代数与空间几何
极限特例,"分类讨论的情况：
1、含有$|x|$，$x$趋近于0，区分$0^+$和$0^-$，进行讨论
2、含有$e^{\frac{1}{x}}$，$x$趋近于0，区分$0^+$和$0^-$，进行讨论（同除某一个项，或者提公因式判断）
3、含有取整函数$[x]$，$x$趋近于整数
——————————————————————————
常用的极限等式：
设$\alpha>0, \beta>0$
1、$\lim _{x \rightarrow+\infty} \frac{\ln ^{\beta} x}{x^{\alpha}}=0$
2、$\lim _{x \rightarrow+\infty} \frac{x^{\alpha}}{\mathrm{e}^{\beta x}}=0$
3、$\lim _{x \rightarrow 0^{+}} x^{\alpha} \ln ^{\beta} x=0$",函数极限连续
求解第一类曲线积分,"奇偶性对称性应用：
1、对称性仅对积分曲线有要求（积分曲线变量互换后方程不变，变量就可以互换）
2、奇偶性对积分曲线和被积分函数都有要求（积分曲线对称、被积分函数关于对称方向有奇偶性）
——————————————————————————
二维曲线积分：
1、参数方程：$\int_{L} f(x, y) \mathrm{d} s=\int_{a}^{\beta} f(x(t), y(t)) \sqrt{x^{\prime 2}(t)+y^{\prime 2}(t)} \mathrm{d} t$
2、直角坐标方程：$\int_{L} f(x, y) \mathrm{d} s=\int_{a}^{b} f(x, y(x)) \sqrt{1+y^{\prime 2}(x)} \mathrm{d} x$
3、极坐标方程：$\int_{L} f(x, y) \mathrm{d} s=\int_{a}^{\beta} f(r(\theta) \cos \theta, r(\theta) \sin \theta) \sqrt{r^{2}+r^{\prime 2}} \mathrm{~d} \theta$
——————————————————————————
三维曲线积分：
1、转参数方程：空间曲线一般转换为参数方程（注意参数方程的求解$ds$化为$dt$，关系为$ds = \sqrt{x^{\prime 2}(t)+y^{\prime 2}(t)+z^{\prime 2}(t)} \mathrm{d} t$）
2、简化式子：利用变量的对称性将被积分函数转换为常量",多元积分
幂级数求解,"求解幂级数的收敛域-非缺项级数：
1、求解收敛区间（比值法和根值法）：比值法，设当$n$充分大时$a_{n} \neq 0$，并设$\lim_{n \rightarrow \infty}\left|\frac{a{n+1}}{a_{n}}\right|=\rho$，则(1)若$\rho=+\infty$，则$R=0$；(2) 若$\rho=0$，则$R=+\infty$；(3) 若$0<\rho<+\infty$，则$R=\frac{1}{\rho}$；根值法，$\lim_{n \rightarrow \infty} \sqrt[n]{\mid a_{n} |}=\rho$，结论同上（当比值法求出不来时可以用根值法（解决一些振荡系数的问题$\sum_{n=1}^{\infty}\left[2-(-1)^{n}\right] x^{n}$），根值法存在推不出来比值法存在，比值法存在可以推出根值法存在）（根据具体级数的情况选择比值法或者根值法，选择方法和正项级数求解敛散性选择方法一致）
2、考虑收敛区间端点处的敛散性，得出收敛域（收敛区间是左右对称的开区间，收敛域是收敛区间加上收敛的端点值组成的区间）
注意：求解收敛区间所用的比值法和根值法是充分非必要的（与级数判断敛散性一致）
备注：幂级数在某一点条件收敛，则该点是收敛域的端点；当某一点在收敛域的内部时，该点绝对收敛；幂级数在对称的两点收敛性不同，则该点就是收敛域的端点
——————————————————————————
求解幂级数的收敛域-缺项级数：
1、使用级数的比值判别法，求解相邻两项的比值，即$\lim _{n \rightarrow \infty}\left|\frac{u_{n+1}(x)}{u_{n}(x)}\right|$，并使得其比值小于1的$x$的范围（比值法求不出来试试根值法，与非缺项级数的处理类似）
2、考虑收敛区间端点处的敛散性，得出收敛域
——————————————————————————
已知某幂级数的收敛域求解另一级数收敛域：
1、级数乘以x的有限次幂，收敛域不会改变；逐项求导与逐项积分，收敛区间不会改变
2、利用级数在指定区间内的估计值，求解该区间内另一个级数的收敛半径<880 P46 二(2)>
——————————————————————————
求解幂级数的和函数：（可以求解常数项级数）
1、根据幂级数的代数运算
2、利用变量替换
3、利用常见的函数的麦克劳林展开式
4、先逐项求导, 再利用$S(x)=S(0)+\int_{0}^{x} S^{\prime}(t) \mathrm{d} t$（注意从导数积分回去有一个$S(0)$）
5、先逐项积分，再利用$S(x)=\left(\int_{0}^{x} S(t) \mathrm{d} t\right)^{\prime}$（先积分再求导；区别上述先求导再积分，即常数的问题）
6、先通过幂级数的代数运算、逐项求导、逐项积分等转化为关于和函数$S(x)$的微分方程问题，再求解方程
注意：判断有没有除0造成的简断点（等于0处等）；结果中要包含收敛域的全部范围（可能去掉端点）
注意：对于和函数不存在的点需要额外排除，在0点可能有$0^0=1$；
注意：逐项求导和逐项积分均需要在收敛域上讨论
备注：和函数求出来时候利用原级数特殊点对和函数的正确性进行验证
——————————————————————————
求解幂级数的极限：
1、常数项级数求和：利用级数定义求解部分和$S_n$，然后求极限得级数和
2、幂级数求和：求解幂级数的和函数（常见得展开式经过一系列的有理运算、逐项求导和逐项积分）（幂级数和函数操作时注意判断函数的定义域），得出和函数在某点处的值（极限）
注意：这里将求数列和极限与级数关联了起来",无穷级数
幂级数性质,"1、四则运算：和差，$\sum_{n=0}^{\infty} a_{n} x^{n} \pm \sum_{n=0}^{\infty} b_{n} x^{n}=\sum_{n=0}^{\infty}\left(a_{n} \pm b_{n}\right) x^{n}=S_{1}(x) \pm S_{2}(x), x \in(-R, R)$；积，$\left(\sum_{n=0}^{\infty} a_{n} x^{n}\right)\left(\sum_{n=0}^{\infty} b_{n} x^{n}\right)=\sum_{n=0}^{\infty}\left(a_{0} b_{n}+a_{1} b_{n-1}+\cdots+a_{n} b_{0}\right) x^{n}=S_{1}(x) S_{2}(x), x \in(-R, R) $；商，设$b_0 \ne 0$，$\frac{S_{1}(x)}{S_{2}(x)}=\frac{\sum_{n=0}^{\infty} a_{n} x^{n}}{\sum_{n=0}^{\infty} b_{n} x^{n}}=c_{0}+c_{1} x+\cdots+c_{n} x^{n}+\cdots$，其中$c_{n}$由$\left(\sum_{n=0}^{\infty} b_{n} x^{n}\right) \cdot\left(\sum_{n=0}^{\infty} c_{n} x^{n}\right)=\sum_{n=0}^{\infty} a_{n} x^{n}$来确定（其中收敛半径$R$为参与运算的级数的收敛半径的最小值）
2、分析性质：设幂级数$\sum_{n=0}^{\infty} a_{n} x^{n}$的收敛半径为$R>0$，和函数为$S(x)$，则(1)$S(x)$在$(-R, R)$上连续；(2)$S(x)$在$(-R, R)$上可导，且可逐项求导，即$S^{\prime}(x)=\sum_{n=1}^{\infty} n a_{n} x^{n-1}$（原幂级数含常数项求导会使项数减少）；(3)$S(x)$在$(-R, R)$内可积, 且可逐项积分，即$\int_{0}^{x} S(t) \mathrm{d} t=\sum_{n=0}^{\infty} \int_{0}^{x} a_{n} t^{n} \mathrm{~d} t=\sum_{n=0}^{\infty} \frac{a_{n}}{n+1} x^{n+1} \quad(x \in(-R, R))$（注意这里用的定积分，并且下限是$0$，上限是$x$）；（积分和求导后均具有与原幂级数相同的收敛半径）（在利用幂级数的分析性质时需要用收敛区间讨论，因为端点上的收敛性可能在求导或者积分时发生变化，在收敛区间上讨论完之后，再由和函数在闭区间上的连续性得到端点上的收敛性）（求导后端点的收敛性可能失去，积分后端点的收敛性可能增加）（使用分析性质时一定要在收敛区间上进行讨论）",无穷级数
变限积分函数,"性质判断：
1、奇偶性判断：复杂的式子直接套奇偶性的定义，没必要展开分析
2、单调性判断：使用导数判断（带有绝对值的先去掉绝对值）",一元积分
单调性相关,"单调性的判断：
1、定义、作差、作商：用于函数不可导时的判定；用于判断数列的单调性，在证明数列的收敛时判断数列是否是单调的
2、求导：利用导数的值在区间内的正负性进行判定（判断单调性时，不仅要关注极值点的值，也要关注端点的值，从而判断原函数的起始点和落脚点在哪里，判断原函数的整体走势）
3、复合函数单调性：同增异减
注意：单调不一定是连续的（可以用来构造反例）
注意：多个不连续区间具有相同单调性，需要用“，”或者“和”连接（单调区间的表示）
注意：区分”在区间上单调递增“和”单调递增区间是XXX“（前者可能是一个单调递增区间，后者是所有的单调递增区间）
——————————————————————————
单调性的应用：
1、根据值域上两点值的关系，和函数的单调性，得到定义域上这两点之间的关系（即大小关系）（平常都是用定义域和单调性来判断定义域上两点的值域上的关系，这里反向推导了）
——————————————————————————
单调性与导数：
1、导数与增函数：导数大于0，只有个别处导数为0不影响整体的增函数特性","函数极限连续,一元微分"
极限表示的函数的表达式,"1、找影响因子（高次项等）：先判断在定义域上其中哪个项在极限的求解中占主要成分
2.1、提影响因子：将其中起作用的影响因子提取出来，求解剩余部分的极限
2.2、将影响因子以外的进行放缩：利用夹逼定理（夹逼定理放缩就是不改变起主要作用的项），整个函数大于该单独的项，并小于其它所有项等于该项的值（依据实际的条件进行放缩）
放缩样例：$\sqrt[n]{|x|^{3 n}}<\sqrt[n]{1+|x|^{3 n}} \leqslant \sqrt[n]{2|x|^{3 n}}=\sqrt[n]{2}|x|^{3}$
备注：当函数的表达式是用极限的形式表示时，需要先求出函数的表达式（must），再根据题目进行别的求解（判断函数的性质等）",函数极限连续
复合函数极限,"1、复合函数极限运算定理：设$\lim_{x \rightarrow x{0}} \varphi(x)=u_{0}$, 且存在$x=x_{0}$的某去心邻域$\dot{U}\left(x_{0}\right)$, 当$x \in \dot{U}\left(x_{0}\right)$时$\varphi(x) \neq u_{0}$（附近没有别的等于极限$u_{0}$的点，排除振荡情况；如果$u_{0}$的值为无穷大，则可认为可排除振荡的情况，即无条件存在$\varphi(x) \neq u_{0}$）, 又设$\lim_{u \rightarrow u{0}} f(u)=A$, 则$\lim_{x \rightarrow x{0}} f(\varphi(x))=A$
2、复合函数的单调性与复合函数的极限存在性，按照有关的收敛、单调去考虑即可（单调有界数列必存在极限）（考虑内层函数振荡）
备注：收敛是指收敛于有限值，趋近于无穷不叫收敛",函数极限连续
幂级数展开,"将函数展开为幂级数：
1、间接法：利用常用的几个麦克劳林展开式，通过变量代换和幂级数性质（四则运算、逐项求导和逐项积分）
2、直接法：求解函数在$x_0$处的各阶导数，写出在$x=x_0$处的泰勒级数，并考察泰勒级数的余项极限是否为0
注意：标注幂级数的收敛区间（不是收敛域）
——————————————————————————
常用的麦克劳林展开式：
1、$\frac{1}{1-x}=1+x+x^{2}+\cdots+x^{n}+\cdots, x \in(-1,1)$；
2、$\frac{1}{1+x}=1-x+x^{2}+\cdots+(-1)^{n} x^{n}+\cdots, x \in(-1,1)$；
3、$\mathrm{e}^{x}=1+x+\frac{x^{2}}{2 !}+\cdots+\frac{x^{n}}{n !}+\cdots, x \in(-\infty,+\infty)$；
4、$\sin x=x-\frac{x^{3}}{3 !}+\cdots+\frac{(-1)^{n} x^{2 n+1}}{(2 n+1) !}+\cdots, x \in(-\infty,+\infty)$；
5、$\cos x=1-\frac{x^{2}}{2 !}+\cdots+\frac{(-1)^{n} x^{2 n}}{(2 n) !}+\cdots, x \in(-\infty,+\infty)$；
6、$\ln (1+x)=x-\frac{x^{2}}{2}+\cdots+\frac{(-1)^{n-1} x^{n}}{n}+\cdots, x \in(-1,1]$；
7、$(1+x)^{\alpha}=1+\alpha x+\frac{\alpha(\alpha-1)}{2 !} x^{2}+\cdots+\frac{\alpha(\alpha-1) \cdots(\alpha-n+1)}{n !} x^{n}+\cdots, x \in(-1,1)$；
注意：以上1-6后边的区间均为收敛域，7的仅为收敛区间，收敛域要视$\alpha$的情况而定
注意：当求解包含函数与级数的组合时的级数时，先统一转换成函数，再由常用展开式或者分析性质展开",无穷级数
不等式的证明方法细节,"1、将不等式中的一个量转换成变量：转换成一个函数，转为用函数单调性的方法求解（当某一个端点是开区间时，求解该端点的极限值，构造新的补充端点值得函数讨论函数在区间上得正负性）（注意将1转换成变量时，可能需要有隐藏的变量需要转换）
2、对称性的应用：证明含有$1/u$在$(0,\infty)$区间上的单调性，先证明$(0,1)$，再利用对称性证明$(1,\infty)$，减小计算量（用变量替换。替换后形式与原式子形式一致）
3、有高阶导：用拉格朗日余项泰勒公式推导函数的值，再所证的范围上的其中一个端点展开（该点的高阶导数要尽可能地多；尽可能让不需要的项为0；容易约去的点，用于多个函数泰勒组合）
4、拉格朗日中值公式与单调性的证法是相通的：单调性可以将拉格朗日中值公式化简成$f(b)-Ab>f(a)-Aa$，构造函数$f(x)+Ax$，求导即是证明$f^{\prime}(x)-A>0$类似的问题，与拉格朗日中值公式的证明类似
5、两端值未定的规范化：假设$f(a),f(b)$的关系未定，构造函数$\varphi(x)=f(x)-\left[f(a)+\frac{f(b)-f(a)}{b-a}(x-a)\right]$，这样就有$\varphi(a)=\varphi(b)$
6、式子预处理：如果是复杂的乘式，利用求对数，将乘积形式变为和差的形式
7、罗尔定理是证明导数零点的（等式），如果题目中给出一个区间两个端点值为0的情况，用拉定在$x$（区间的中间值）和这两个值联立得到两个式子，
8、数值不等式也可以通过一些定理的形式转换，例如如果具有拉格朗日中值定理的形式，就将原数值不等式转换成了函数导数不等式的形式
注意：当不等式两边同时乘一个负值时，不等式要变号",一元微分
